ID,Text,Translation
1000106,Info,
1000104,<id>,
1000105,<id> <color 0 128 0><ValueText>,
1000107,Mod,
1000109,Template,
1000111,General,
1000207,Misc,
1000113,Debug,
1000208,Critical Error,
1000209,Unspecified error occurred (code %s1). The game will now close.,
1000210,You need a supported DX11-compatible video card with updated drivers to play this game.,
1000211,Failed to initialize video mode.,
1000114,Error,
1000115,You need DirectX 11 and a DirectX 11-compatible graphics card to run this game.,
1000116,You need an OpenGL 4.2-capable graphics card to run this game.,
1000117,You need an OpenGL 4.5-capable graphics card to run this game.,
1000118,Failed to initialize graphics subsystem.,
1000597,"An error has occurred: ""<err>/<context>""",
1000598,Error,
1000212,<arg1>:<arg2>:<arg3>,
1000213,<arg1>:<arg2>,
1000685,",",
1000686,Brazilian Portuguese,
1000687,Bulgarian,
1000688,Czech,
1000689,Danish,
1000690,Dutch,
1000691,English,
1000692,Finnish,
1000693,French,
1000694,German,
1000695,Hungarian,
1000696,Italian,
1000697,Japanese,
1000698,Korean,
1000699,Norwegian,
1000700,Polish,
1000701,Portuguese,
1000702,Romanian,
1000703,Russian,
1000704,Chinese (Simplified),
1000705,Spanish,
1000706,Swedish,
1000707,Chinese (Traditional),
1000708,Thai,
1000709,Turkish,
1000710,Auto,自動
1000119,<FormatResolution(pt)>,<FormatResolution(pt)>
1000121,Default,預設
1000122,Display,顯示
1000123,DISPLAY,顯示
1000124,Video,影像
1000125,VIDEO,影像
1000126,Audio,聲音
1000127,AUDIO,聲音
1000128,Controls,控制
1000129,CONTROLS,控制
1000131,GAMEPLAY,遊戲控制
1000132,Key Bindings,綁定按鍵
1000133,KEY BINDINGS,綁定按鍵
1000134,Change Profile,改變個人檔案
1000135,CHANGE PROFILE,改變個人檔案
1000217,Checking for downloadable content... Please wait.,
1000218,A downloadable content file appears to be damaged and cannot be loaded. Please delete it from the Memory section of the Dashboard and download it again.,
1000610,You are signed in as a guest. You will be unable to save any game content until you sign in to a non-guest profile.,
1000611,Disconnected from multiplayer,
1000612,You have been removed from multiplayer because the game was suspended.,
1000613,New downloadable content has been installed and will be available after you return to the main menu.,
1000717,New Downloadable Content,
1000718,Error looking up files of <ModLabel>: <u(err)>,
1000719,Error creating folder <u(folder)>: <u(err)>,
1000720,Outdated mod <ModLabel> cannot be loaded. (Unsupported game version),
1000721,Outdated Mods,
1000722,Certain mods are disabled because they are not supported by the current version of the game.,
1000723,"Downloadable Content has been unlocked, returning to Main Menu.",
1000624,This account has restricted access to multiplayer.,
1000625,This account has been banned from Xbox Live.,
1000626,An Xbox Live Gold Membership is required to access this feature.,
1000614,<gamer>’s controller has been disconnected. Please reconnect it in order to continue your game or press any button on the user’s new controller.,
1000627,The active controller was disconnected. Please reconnect a controller which is not signed in to a profile in order to continue your game.,
1000628,Controller disconnected,
1000629,Continue,
1000630,Controller disconnected,
1000631,Continue,
1000178,Actions,
1000219,&Views,
1000180,&Actions,
1000181,&Edit,
1000182,&Cut,
1000183,&Copy,
1000184,&Paste,
1000185,&Duplicate,
1000186,&Reload,
1000220,Refresh,
1000221,Undo,
1000222,Redo,
1000223,&Navigate,
1000224,Edit in &New Window,
1000225,&Home,
1000226,&Back,
1000227,&Forward,
1000228,Exit Application,
1000229,Misc,
1000230,Home,
1000231,Previous,
1000232,Next,
1000233,Copy,
1000234,Cut,
1000235,Paste,
1000236,Duplicate,
1000137,New Element,
1000138,New XTemplate,
1000139,Preview XTemplate,
1000615,Delete,
1000245,Redo,
1000616,OK,
1000246,Cancel,
1000617,OK,
1000247,Cancel,
1000140,Hide/show all properties with default values,
189736641365,View Object,
566561671803,Open Entity Editor,
934619628713,Toggle Spots,
855829278936,Convert to Template,
102672884722,Convert to Object,
173123111544,Remove Duplicated,
180179795778,Invert Selection,
381730822640,Delete,
1000248,Remove Unselected,
623390947398,Save,
400353986243,Open Folder,
186760604064,Test,
342669996355,Upload,
487939677892,Help,
833734167742,Delete Item,
1000249,Redo,
125522858940,New Item,
1000142,New <u(item_name)>,
888280433864,File,
1000143,New Mod,
885629433849,Load,
327465361219,Edit,
408637015506,Delete Mod,
791482327441,Help,
234124121113,Fetch from selection,
1000716,Reapply All,
377547327617,New Prg,
301269983303,Save,
102133798674,Move Out,
978910231685,Move In,
505747953509,Delete,
1000250,Redo,
1000251,Prg,
298035641454,Object,
167400996647,Move,
382567554252,Slot,
283142739680,Game,
699872370171,Condition,
294879472859,Rollover Mode,
464156353043,Inspect Focused Window,
437848878733,Toggle Focus Logging,
986049161052,Toggle Rollover Logging,
741286422920,Toggle Context Logging,
1000144,<class> <color 128 128 128><Id><PlacementText>,
1000252,New Update Available,
1000253,Download & Install,
1000254,Cancel,
1000255,Download error,
1000256,"Download failed, please try again later.",
1000257,Connected to <host>:<port>,
1000258,game <game>,
1000259,<newline>sent <events_sent_ps> received <events_received_ps>,
1000260,<newline>Advance limit <advance>(<more>),
1000618,Idle,
1000261,Damaged savegame,
1000146,Select Action,
1000147,Select Action Param,
1000148,Gamepad Button,
1000149,Virtual Key,
1000150,Center Button,
1000151,Go Back,
1000152,Back Button,
1000153,Close Parent,
1000154,Open Dialog,
1000156,ActionFXMouseIn,
1000157,ActionFXBtnPressed,
1000158,ActionFXBtnPressedDisabled,
1000262,<arg1> R,
1000263,<arg1> G,
1000264,<arg1> B,
1000265,On,
1000266,Off,
1000267,(press any key),
1000268,None,
1000269,Backspace,
1000270,Tab,
1000271,Enter,
1000272,Shift,
1000273,Ctrl,
1000274,Alt,
1000275,Caps Lock,
1000276,Space,
1000277,Pageup,
1000278,Pagedown,
1000279,End,
1000280,Home,
1000281,Left,
1000282,Up,
1000283,Right,
1000284,Down,
1000285,PrtScr,
1000286,Insert,
1000287,Delete,
1000288,0,
1000289,1,
1000290,2,
1000291,3,
1000292,4,
1000293,5,
1000294,6,
1000295,7,
1000296,8,
1000297,9,
1000298,A,
1000299,B,
1000300,C,
1000301,D,
1000302,E,
1000303,F,
1000304,G,
1000305,H,
1000306,I,
1000307,J,
1000308,K,
1000309,L,
1000310,M,
1000311,N,
1000312,O,
1000313,P,
1000314,Q,
1000315,R,
1000316,S,
1000317,T,
1000318,U,
1000319,V,
1000320,W,
1000321,X,
1000322,Y,
1000323,Z,
1000324,Numpad 0,
1000325,Numpad 1,
1000326,Numpad 2,
1000327,Numpad 3,
1000328,Numpad 4,
1000329,Numpad 5,
1000330,Numpad 6,
1000331,Numpad 7,
1000332,Numpad 8,
1000333,Numpad 9,
1000334,Numpad *,
1000335,Numpad +,
1000336,Numpad Enter,
1000337,Numpad -,
1000338,Numpad .,
1000339,Numpad /,
1000340,F1,
1000341,F2,
1000342,F3,
1000343,F4,
1000344,F5,
1000345,F6,
1000346,F7,
1000347,F8,
1000348,F9,
1000349,F10,
1000350,F11,
1000351,F12,
1000352,Num Lock,
1000353,Scroll Lock,
1000619,Pause,
1000354,L Shift,
1000355,R Shift,
1000356,L Ctrl,
1000357,R Ctrl,
1000358,L Alt,
1000359,R Alt,
1000360,;,
1000361,=,
1000362,",",
1000363,-,
1000364,+,
1000365,.,
1000366,/,
1000367,~,
1000368,[,
1000369,\,
1000370,],
1000371,',
1000372,<current_page> / <total_pages>,
1000620,Warning,
1000621,Windows Input Method Editor may cause flickering when in Fullscreen.,
1000373,"droid, 12, aa",
1000374,"Mikadan Custom, 22, aa",
1000375,"Mikadan Custom, 26, aa",
1000376,"Mikadan Custom, 30, aa",
1000377,"Mikadan Custom, 22, aa",
1000378,"droid, 9, aa",
1000379,"droid, 11, bold, aa",
1000380,"droid, 11, aa",
1000381,"droid, 12, bold, aa",
1000382,"droid, 12, aa",
1000383,"droid, 13, aa",
1000384,"droid, 13, bold, aa",
1000385,"droid, 14, aa",
1000386,"droid, 14, bold, aa",
1000387,"droid, 16, aa",
1000388,"droid, 16, bold, aa",
1000389,"droid, 17, aa",
1000390,"droid, 17, bold, aa",
1000391,"droid, 18, aa",
1000392,"droid, 18, bold, aa",
1000393,"droid, 21, bold, aa",
1000394,"droid, 32, bold",
1000622,"droid, 14, bold, aa",
1000395,"droid, 18, bold, aa",
1000396,"droid, 12, aa",
1000397,"droid, 13, bold, aa",
1000398,"droid, 14, aa",
1000399,"droid, 14, bold, aa",
1000400,"LibelSuitRg, 22, bold","Noto Sans CJK SC Regular, 22, bold"
1000401,"LibelSuitRg, 18","Noto Sans CJK SC Regular, 18"
1000402,"LibelSuitRg, 20, bold","Noto Sans CJK SC Regular, 20, bold"
1000403,"LibelSuitRg, 20, bold","Noto Sans CJK SC Regular, 20, bold"
1000404,"LibelSuitRg, 22","Noto Sans CJK SC Regular, 22"
1000405,"LibelSuitRg, 30, bold","Noto Sans CJK SC Regular, 30, bold"
1000672,"SchemeBk, 21, bold, aa","Noto Sans CJK SC Regular, 21, bold, aa"
1000673,"SchemeBk, 19, bold, aa","Noto Sans CJK SC Regular, 19, bold, aa"
1000674,"SchemeBk, 13, aa","Noto Sans CJK SC Regular, 13, aa"
1000163,<ButtonB> Skip,
1000164,<image UI/Icons/action_esc.tga 2000> Skip,
1000416,OK,
1000417,OK,
1000418,Cancel,
1000419,Connecting to <host>:<port>,
1000420,Error connecting to server: <err>,
1000421,Joining <game>,
1000422,Error joining <game>: <error>,
1000423,Changing map to <map>,
1000424,Connection established,
1000425,Pause,
1000426,OK,
1000427,Cancel,
1000428,Enter Text Here:,
1000429,OK,
1000430,Cancel,
1000431,OK,
1000432,Cancel,
1000433,OK,
1000434,Server,
1000435,Game,
1000436,Map,
1000437,Username,
1000438,Password,
1000439,OK,
1000440,Cancel,
1000441,Join Net Game,
1000442,Controls:,
1000443,<center>Controls Palette,
1000406,English,
1000407,French,
1000408,German,
1000409,Italian,
1000410,Spanish,
1000411,Russian,
1000412,Czech,
1000413,Hungarian,
1000414,Polish,
1000415,Japanese,
1000444,<actor>: <text>,
1000165,<class> <Id>,
1000445,Backspace,
1000446,Tab,
1000447,Enter,
1000448,Shift,
1000449,Ctrl,
1000450,Alt,
1000451,Caps Lock,
1000452,Space,
1000453,Pageup,
1000454,Pagedown,
1000455,End,
1000456,Home,
1000457,Left,
1000458,Up,
1000459,Right,
1000460,Down,
1000461,PrtScr,
1000462,Insert,
1000463,Delete,
1000464,0,
1000465,1,
1000466,2,
1000467,3,
1000468,4,
1000469,5,
1000470,6,
1000471,7,
1000472,8,
1000473,9,
1000474,A,
1000475,B,
1000476,C,
1000477,D,
1000478,E,
1000479,F,
1000480,G,
1000481,H,
1000482,I,
1000483,J,
1000484,K,
1000485,L,
1000486,M,
1000487,N,
1000488,O,
1000489,P,
1000490,Q,
1000491,R,
1000492,S,
1000493,T,
1000494,U,
1000495,V,
1000496,W,
1000497,X,
1000498,Y,
1000499,Z,
1000500,Numpad 0,
1000501,Numpad 1,
1000502,Numpad 2,
1000503,Numpad 3,
1000504,Numpad 4,
1000505,Numpad 5,
1000506,Numpad 6,
1000507,Numpad 7,
1000508,Numpad 8,
1000509,Numpad 9,
1000510,Numpad *,
1000511,Numpad +,
1000512,Numpad Enter,
1000513,Numpad -,
1000514,Numpad .,
1000515,Numpad /,
1000516,F1,
1000517,F2,
1000518,F3,
1000519,F4,
1000520,F5,
1000521,F6,
1000522,F7,
1000523,F8,
1000524,F9,
1000525,F10,
1000526,F11,
1000527,F12,
1000528,Num Lock,
1000529,Scroll Lock,
1000530,Pause,
1000531,L Shift,
1000532,R Shift,
1000533,L Ctrl,
1000534,R Ctrl,
1000535,L Alt,
1000536,R Alt,
1000537,;,
1000538,=,
1000539,",",
1000540,-,
1000541,+,
1000542,.,
1000543,/,
1000544,~,
1000545,[,
1000546,\,
1000547,],
1000548,',
1000160,Lwin,
1000161,Rwin,
1000162,Menu,
1000549,if <condition> then,
1000550,else,
1000551,else if <condition> then,
1000552,while <condition> do,
1000553,repeat until <condition>,
1000554,break,
1000555,break if <condition>,
1000556,<var> = <condition>,
1000557,<var> = <var> or <condition>,
1000558,<var> = <var> and <condition>,
1000559,<form> <color 0 128 0><comment>,
1000632,<unit> has no visit time,
1000633,<unit> has visit time,
1000560,call <__call>(<params>) <color 0 128 0><comment>,
1000561,Wait <time> ms <color 0 128 0><comment>,
1000562,Play <spot> prg <color 0 128 0><comment>,
1000634,Play <anim>,
1000635,Play <anim> <loops> loops,
1000636,Set <anim>,
1000637,Play <anim> <time> ms,
1000638,<desc> (<flags>),
1000639,Set <unit> move anim <move_anim>,
1000640,Set <unit> wait anim <wait_anim>,
1000641,<spot>,
1000642,<loc>,
1000643,<loc><newline>   (custom waypoints <waypoints>),
1000644,Lead <unit> to <spot_obj> <txt> <color 0 128 0><comment>,
1000645,Go to <pos>,
1000646,Teleport to <pos>,
1000647,Move directly to <pos>,
1000679,Follow waypoints <waypoints_var> <dir> <color 0 128 0>,
1000648,<color 0 128 0><comment><color 0 0 0>,
1000650,Clear <obj> <spot> flags <flags_clear>,
1000651,Dtor set <obj> <spot> flags <dtor_flags_add>,
1000652,Dtor clear <obj> <spot> flags <dtor_flags_clear>,
1000649,Set <obj> <spot> flags <flags_add>,
1000653,not,
1000654,"<not_text> <obj> <spot> required <flags_required>, missing <flags_missing>",
1000655,<not_text> <obj> <spot> required <flags_required>,
1000656,<not_text> <obj> <spot> missing <flags_missing>,
1000657,false,
1000658,true,
1000659,<var_pos> = Position of <obj> <spot_var>,
1000660,<waypoints_idx>,
1000661,last,
1000662,<var_pos> = Position of <obj> <waypoints_var>[<idx>],
1000681,<var_spot> <var_pos> = Nearest spot <spot_type> to <target>,
1000663,<var_spot> <var_pos> = Random spot <spot_type>,
1000680,"<var_waypoints> = Find <waypoints>(start:<first_target>, end:<last_target>)",
1000675,<var_obj> = Nearest <classname> to <target>,
1000711,<params>,
1000712,<action> <obj> <params>,
1000713,<obj> action: <action_var> <params>,
1000179,<txt>,
1000714,( Dtor <dtor_action> <obj> <params>),
1000682,Set <unit> inside,
1000683,Set <unit> outside,
1000586,Snap <actor> to <obj> <spot><color 0 128 0><comment>,
1000587,Rotate <obj> on <angle> degree (<time>ms) <color 0 128 0><comment>,
1000677,Attach <actor> to <obj>,
1000678,Detach <actor>,
1000588,Orient <actor> <color 0 128 0><comment>,
1000565,Place <classname> <color 0 128 0><comment>,
1000666,(<spot_type>),
1000667,Define slot <groups> <spots><color 0 128 0><comment>,
1000684,<vars> = Select slot <group>,
1000715,Visit selected <obj> <spot>,
1000670,(fallback: <group_fallback>),
1000671,Visit slot <group><fallback>,
1000166,<class> <color 0 128 0><comment>,
1000187,Group <color 0 128 0><comment>,
1000188,Code <color 0 128 0><comment>,
1000189,func <name> <color 0 128 0><comment>,
1000190,<__class> <color 128 128 128><PlacementText> <color 0 128 0><comment>,
1000191,T: <__template> <color 128 128 128><Id> <color 0 128 0><comment>,
1000192,Property <id> <color 0 128 0><comment>,
1000193,<color 128 0 0>Mode <mode> <color 0 128 0><comment>,
1000194,Layer <layer> <color 0 128 0><comment>,
1000195,Action <color 128 128 128><ActionMode> <ActionId> <color 0 128 0><comment>,
1000196,For each <color 0 128 0><comment>,
1000197,For each action <toolbar><menubar> <color 0 128 0><comment>,
396941091004,Go Back,
915113417689,Go Forward,
657831084891,Go to parent's previous child,
645635277599,Go to parent's next child,
516545424288,Go to parent table,
832102575376,Store in 'o1',
150879427262,Store in 'o2',
135515637285,Store in 'o3',
866772482434,New Preset,
502364928914,Delete Preset,
606395244135,Save,
876718755482,Move Up,
882087082346,Move Down,
885977304658,Undo,
711130941438,Redo,
606667192825,Cut,
300588080799,Copy,
733420793888,Paste,
675205898362,Duplicate,
398847925160,New,
1000198,<info>,
1000199,Two too many,
1000200,AQj,
1000201,Action 1,
1000202,Action 2,
1000203,Action 3,
243550090910,File,
357531548191,Edit,
1000204,View,
1000205,New File,
1000206,Open File,
131428313273,-----,
238591151127,Exit,
1000237,Please select installation type,
1000238,Not enough free disk space in,
1000239,Typical,
1000240,Custom,
1000241,"Do you want to delete all savegames, configuration data and downloadable content?",
1000242,<game> was successfully removed from your computer.,
1000243,Please install <game_version>,
1000244,You have already installed <game_version>,
4864,Cubism,立體主義
4865,Completed Mystery: The Power of Three,已完成謎團「立方之力」
4866,Complete The Power of Three Mystery,完成「立方之力」謎團
4867,Space Invaders,宇宙入侵者
4868,Completed Mystery: The Dredgers,已完成謎團「疏濬者」
4869,Complete the Dredgers mystery,完成「疏濬者」謎團
4870,"Mirror, mirror...",魔鏡啊魔鏡……
4871,Completed Mystery: Spheres,已完成謎團「天體者」
4872,Complete the Spheres mystery,完成「天體者」謎團
4873,Swan Song,天鵝曲
4874,Completed Mystery: Inner Light,已完成謎團「內心之光」
4875,Complete the Inner Light mystery,完成「內心之光」謎團
4876,Sentience 2.0,知覺 2.0
4877,Completed Mystery: Artificial Intelligence,已完成謎團「人工智慧」
4878,Complete the Artificial Intelligence mystery,完成「人工智慧」謎團
4879,Whistleblower,吹哨者
4880,Completed Mystery: Marsgate,已完成謎團「火星之門」
4881,Complete the Marsgate mystery,完成「火星之門」謎團
4882,The Beanstalk,傑克與魔豆
4883,Built the Space Elevator,已建造「太空電梯」
4884,Build the Space Elevator,建造「太空電梯」
4885,Snow Globe,雪景球
4886,Built the Geoscape Dome,已建造「天頂蒼穹」
4887,Build the Geoscape Dome,建造「天頂蒼穹」
4888,It's Always Sunny on Mars,火星永浴太陽下
4889,Built the Artificial Sun,已建造「人造太陽」
4890,Build the Artificial Sun,建造「人造太陽」
4891,Alpha Scientist,首席科學家
4892,Built the Omega Telescope,已建造「奧美加望遠鏡」
4893,Build the Omega Telescope,建造「奧美加望遠鏡」
4894,The Rabbit Hole,無底洞
4895,Built the Mohole Mine,已建造「莫霍礦井」
4896,Build the Mohole Mine,建造「莫霍礦井」
4897,Cast in Concrete,成型混凝土
4898,Built the Excavator,已建造「霸王鑽」
4899,Build the Excavator,建造「霸王鑽」
4900,What is Real?,什麼是真實？
4901,Built Project Morpheus,已建造「莫菲斯計畫」
4902,Build Project Morpheus,建造「莫菲斯計畫」
4903,Bubble Wrap,氣泡紙
4904,Built a Dome,已建造蒼穹頂
4905,Build a Dome,建造蒼穹頂
4906,There and Back Again,大冒險
7427,Refueled a Rocket,已重新為火箭補給燃料
4907,Refuel a Rocket,重新為火箭補給燃料
4908,Spacey Food,有太空味的食物
4909,Harvested Food on Mars,已在火星上收穫糧食
4910,Harvest Food on Mars,在火星上收穫糧食
4911,Where No Man has Gone Before,前人未至之境
7428,Analyzed an Anomaly,觀察點已分析
4912,Analyze an Anomaly,分析觀察點
4913,Marvin the Martian,火星人馬文
4914,First child on Mars,首名火星之子
4915,"Good News, Everyone!",各位，好消息！
4916,Passed the Colony Approval stage,通過了殖民地認同階段
4917,Pass the Colony Approval stage,通過殖民地認同階段
4918,Space Communism,太空共產主義
4919,Reached 250 Colonists,已擁有250名殖民者
4920,Reach 250 Colonists,擁有250名殖民者
4921,Multiplanet Species,跨星球物種
4922,Reached 1000 Colonists,已擁有1000名殖民者
4923,Reach 1000 Colonists,擁有1000名殖民者
4924,The Boundaries of Knowledge,知識的邊界
4925,Researched all non-Breakthrough Technologies,已研發所有非突破性科技
4926,Research all non-Breakthrough Technologies,研發所有非突破性科技
4927,Can't Stop the Signal,無法終止訊號
4928,Scanned all Sectors,已掃描所有地圖區塊
4929,Scan all Sectors,掃描所有地圖區塊
4930,The Final Frontier,最後的疆界
4931,Deep scanned all Sectors,已深入掃描所有地圖區塊
4932,Deep scan all Sectors,深入掃描所有地圖區塊
4933,How Much is a Googol?,一古高爾數是多少？
4934,"Reached $100,000 M",已擁有一千億元
4935,"Reach $100,000 M",擁有一千億元
4936,"Wubba, lubba, dub, dub!",我好痛苦，救救我！
4937,Built 1000 buildings,已建造1000棟建築
4938,Build 1000 buildings,建造1000棟建築
4939,You can't take the Sky from Me!,我的天空你拿不走！
4940,Landed 50 Rockets on Mars in a single playthrough,已在一輪遊戲中降落50艘火箭
4941,Land 50 Rockets on Mars in a single playthrough,在一輪遊戲中降落50艘火箭
4942,In the High Tower,在高塔中
4943,Built a Dome Spire,已建造一座蒼穹頂尖端建築
4944,Build a Dome Spire,建造一座蒼穹頂尖端建築
4945,Open the Pod Bay Doors,打開艙門！
7429,Built a Shuttle Hub,已建造一座客貨機服務站
4946,Build a Shuttle Hub,建造一座客貨機服務站
4947,A Shooting Star,流星！
4948,Shot down a meteorite,已擊落一顆隕石
4949,Shoot down a meteorite,擊落一顆隕石
4950,Dream of a Green Mars,綠色火星的願望
4951,Reached 200 Vegans,已擁有200素食者
4952,Reach 200 Vegans,擁有200素食者
4953,Marsopolis,火星大都會
7430,Reached 100 Colonists living in a single Dome,已擁有一座住了100位殖民者的蒼穹頂
4954,Reach 100 Colonists living in a single Dome,擁有一座住了100位殖民者的蒼穹頂
4955,Assisted Self-Improvement,Assisted Self-Improvement
4956,Treated 50 Colonists in a Sanatorium,已在尖端療養院治療50位殖民者
4957,Treat 50 Colonists in a Sanatorium,在尖端療養院治療50位殖民者
4958,For the Benefit of All,為了全體利益
4959,Played as USA and researched all technologies in the Engineering tech-tree before Sol 100,成功扮演美國並於第100太陽日前研究所有工程類科技
4960,Play as USA and research all technologies in the Engineering tech-tree before Sol 100,扮演美國並於第100太陽日前研究所有工程類科技
4961,Building a Better Future,為了更好的未來
4962,Played as Blue Sun Corporation and exported 500 units of Rare Metals to Earth before Sol 100,成功扮演藍色奇緣並在第100太陽日前出口500單位的稀有金屬回地球
4963,Play as Blue Sun Corporation and export 500 units of Rare Metals to Earth before Sol 100,扮演藍色奇緣並在第100太陽日前出口500單位的稀有金屬回地球
4964,Interesting Times,莫做亂離人
7431,Played as China and reached a population of 200 before Sol 100,成功扮演中國並在第100太陽日前擁有200人口
4965,Play as China and reach a population of 200 before Sol 100,扮演中國並在第100太陽日前擁有200人口
4966,In the Service of Humankind,為全人類服務
7698,Played as India and had 5 Domes before Sol 100,成功扮演印度並在第100太陽日前擁有五座蒼穹頂
4967,Play as India and have 5 Domes before Sol 100,扮演印度並在第100太陽日前擁有五座蒼穹頂
4968,Because we Care,因為我們在乎
7699,Played as Europe and researched 5 Breakthrough Technologies before Sol 100,成功扮演歐洲並在第100太陽日前研究五項突破性科技
4969,Play as Europe and research 5 Breakthrough Technologies before Sol 100,扮演歐洲並在第100太陽日前研究五項突破性科技
4970,Aren't they Cute?,可愛吧？
4971,Played as SpaceY and controlled 200 Drones before Sol 100,成功扮演SpaceY並在第100太陽日前控制200架無人機
4972,Play as SpaceY and control 200 Drones before Sol 100,扮演SpaceY並在第100太陽日前控制200架無人機
4973,Gagarin's Legacy,加加林的遺物
4974,Played as Russia and extracted 10000 resource units from Deposits before Sol 100,成功扮演俄羅斯並在第100太陽日前自資源點萃取10000單位的資源
4975,Play as Russia and extract 10000 resource units from Deposits before Sol 100,扮演俄羅斯並在第100太陽日前自資源點萃取10000單位的資源
4976,The New Ark,新方舟
4977,Played as the Church of the New Ark and had 100 people born on Mars before Sol 100,成功扮演新方舟教並在第100太陽日前於火星上誕生100人
4978,Play as the Church of the New Ark and have 100 people born on Mars before Sol 100,扮演新方舟教並在第100太陽日前於火星上誕生100人
4979,Perfect Moment,完美時刻
4980,Had a Colonist with all four stats at maximum,已擁有一位四項數值全滿的殖民者
4981,Have a Colonist with all four stats at maximum,擁有一位四項數值全滿的殖民者
4982,A Better Planet,更好的星球
4983,Had an Earthsick Colonist who decided to stay on Mars,已擁有一位決定留在火星的思鄉病殖民者
4984,Have an Earthsick Colonist who decided to stay on Mars,擁有一位決定留在火星的思鄉病殖民者
4985,Posthuman,後人類
4986,Had a Colonist with 2 Rare traits,已擁有一名有兩項稀有性格的殖民者
4987,Have a Colonist with 2 Rare traits,擁有一名有兩項稀有性格的殖民者
4988,The Watney Challenge,絕地救援
4989,Passed the Colony Approval stage with a single Founder,以單一創始人通過了殖民地認同階段
4990,Pass the Colony Approval stage with a single Founder,以單一創始人通過殖民地認同階段
4991,S.P.E.C.I.A.L.,S.P.E.C.I.A.L.
4992,Had a Colonist with 5 Perks,已擁有一位有五項優點的殖民者
4993,Have a Colonist with 5 Perks,擁有一位有五項優點的殖民者
4994,The New Wonders of the World,新世界奇觀
7700,Constructed 5 different Wonders in a single playthrough,已在一輪遊戲中建造五個不同的奇觀
4995,Construct 5 different Wonders in a single playthrough,在一輪遊戲中建造五個不同的奇觀
4996,The Positronic Man,正子人
4997,Had a Biorobot Colonist,已擁有一名生化人殖民者
4998,Have a Biorobot Colonist,擁有一名生化人殖民者
4999,Do Androids Dream of Electric Sheep?,仿生人會夢見電子羊嗎？
5000,Had a Dome populated by at least 50 Biorobot Colonists,已擁有一座住有至少50位生化人殖民者的蒼穹頂
5001,Have a Dome populated by at least 50 Biorobot Colonists,擁有一座住有至少50位生化人殖民者的蒼穹頂
5002,Immortality of a Kind,不朽的一種
5003,Had a citizen that was reconstructed by Project Phoenix,已擁有一位藉「鳳凰計畫」重建的殖民者
5004,Have a citizen that was reconstructed by Project Phoenix,擁有一位藉「鳳凰計畫」重建的殖民者
5144,Alleys,小巷
3531,Apartments,公寓
5007,Provides living space for Colonists. Cramped quarters grant less Comfort during rest.,提供殖民者居住空間。休息時，狹小的房間舒適度增加較少。 
5008,Arcologies,生態建築
5009,"Provides living space for numerous Colonists, granting high Comfort.",提供眾多的殖民者居住空間，給予高舒適度。 
5108,Art Workshop,藝術工坊
5109,Art Workshops,藝術工坊
